"TableName","RowCount","ColumnCount","Columns"
"Payment","0","9","code (INTEGER), date (TIMESTAMP), name (TEXT), narr (TEXT), type (TEXT), cq_dd_no (TEXT), commision (DOUBLE PRECISION), vendor (TEXT), amt (DOUBLE PRECISION)"
"PrintBillCount","1","2","id (INTEGER), billno (INTEGER)"
"PRINTERSETUP","3","2","ID (INTEGER), PATH (TEXT)"
"product_key","1","4","ID (INTEGER), serialkey (TEXT), pass (TEXT), Field1 (TEXT)"
"Receipt","95","8","code (INTEGER), date (TIMESTAMP), name (TEXT), narr (TEXT), pay_type (TEXT), cq_dd_no (TEXT), commision (INTEGER), amt (DOUBLE PRECISION)"
"rptdept_type","0","6","ITEM (TEXT), QTY (DOUBLE PRECISION), AMOUNT (DOUBLE PRECISION), TYPE (TEXT), DATETO (TIMESTAMP), DATEFROM (TIMESTAMP)"
"sectionwise_temp","481","17","BILLNO (INTEGER), TABLE_NO (TEXT), SRNO (INTEGER), ITEM (TEXT), QTY (INTEGER), RATE (INTEGER), AMT (INTEGER), DATE (TIMESTAMP), DEPT (TEXT), TYPE (TEXT), UNIT (INTEGER), PACKING (TEXT), BRAND (TEXT), BILLTYPE (TEXT), CLIENTID (INTEGER), OPERATOR (TEXT), SECTIONS (TEXT)"
"sectionwiseBillfinal_Temp","133","19","BILLNO (INTEGER), TABLE_NO (TEXT), WAITER (TEXT), DATE (TIMESTAMP), PAID (INTEGER), TYPE (TEXT), CUST_NAME (TEXT), SERVICE_CHARGE (INTEGER), DISCOUNT (INTEGER), TOTAL (INTEGER), BILLDAY (INTEGER), TIME (TIMESTAMP), CLIENTID (INTEGER), OPERATOR (TEXT), INTIME (TIMESTAMP), CGST (INTEGER), SGST (INTEGER), FOODTOT (INTEGER), SECTIONS (TEXT)"
"Setup","1","33","code (INTEGER), kotsetup (INTEGER), codeonoff (INTEGER), CounterCashDisplay (INTEGER), Waiteronoff (INTEGER), ServiceChargeOnOff (INTEGER), DIscountOnOff (INTEGER), Dateshow (INTEGER), DeptKot (INTEGER), ThermalPrint (INTEGER), WineShop (INTEGER), counterStock (INTEGER), LptPrinter (INTEGER), ExciseAddress (SMALLINT), PaidOnOff (INTEGER), Email (INTEGER), MarathiBill (INTEGER), DeptMultiPrinter (INTEGER), BillCorrLock (INTEGER), LiveCntStk (INTEGER), ResturantOnly (INTEGER), Gst (INTEGER), NewVersion (INTEGER), CounterCashAdmin (INTEGER), Sms (INTEGER), Barcode (INTEGER), PrintAllColumn (INTEGER), BillCorrLockBillPaid (INTEGER), BillDeptShow (INTEGER), AutoOpen (INTEGER), MINUSSTOCK (INTEGER), QRCodePrint (INTEGER), SelfDate (INTEGER)"
"softkey","1","4","ID (INTEGER), serialkey (TEXT), pass (TEXT), Field1 (TEXT)"
"SoftwareName","2","3","name (TEXT), vision (TEXT), rss (TEXT)"
"STK_CNTR_KEYPRESS","2923","2","DATE_TIME_NOW (TEXT), DATE_TIME_ENTER (TEXT)"
"stockcheck","0","16","code (INTEGER), item (TEXT), stock (TEXT), dept (TEXT), type (TEXT), unit (INTEGER), packing (TEXT), salerate (INTEGER), OPENING (INTEGER), OpenTemp (INTEGER), Purchase (INTEGER), SALE (INTEGER), CLOSING (INTEGER), BRAND (TEXT), TOTALPACK (INTEGER), DATE (TIMESTAMP)"
"TABLE_NO_GROP","6","2","ID (INTEGER), GROP (TEXT)"
"temp","1","3","code (INTEGER), amtrecipt (INTEGER), amtvoucher (INTEGER)"
"Voucher","6770","5","code (INTEGER), date (TIMESTAMP), name (TEXT), narr (TEXT), amt (DOUBLE PRECISION)"
"Waiter","4","6","code (INTEGER), name (TEXT), address (TEXT), mobile (TEXT), credit (DOUBLE PRECISION), debit (DOUBLE PRECISION)"
